,Hybrid,Hybrid_Parent1,Hybrid_Parent2,hybrid_occurrences,p1_children,p2_children
990,LH74/PHM49,LH74,PHM49,122,4,8
991,LH74/PHN82,LH74,PHN82,599,4,14
992,LH74/TX205,LH74,TX205,89,4,4
993,LH82/LH244,LH82,LH244,133,14,512
994,LH82/PHB47,LH82,PHB47,46,14,277
995,LH82/PHB47,PHB47,LH82,83,26,205
996,LH82/PHHV4,LH82,PHHV4,2,14,9
997,LH82/PHHV4,PHHV4,LH82,17,10,205
998,LH82/PHRE1,LH82,PHRE1,26,14,14
999,LH82/PHRE1,PHRE1,LH82,29,7,205
1000,LH82/S8324,LH82,S8324,46,14,11
1001,LH82/TX777,LH82,TX777,54,14,7
1002,LH82/TX779,LH82,TX779,86,14,7
1003,LH82_PH207-10/PHB47,LH82_PH207-10,PHB47,8,1,277
1004,LH82_PH207-11/PHB47,LH82_PH207-11,PHB47,14,1,277
1005,LH82_PH207-12/PHB47,LH82_PH207-12,PHB47,10,1,277
1006,LH82_PH207-13/PHB47,LH82_PH207-13,PHB47,12,1,277
1007,LH82_PH207-14/PHB47,LH82_PH207-14,PHB47,10,1,277
1008,LH82_PH207-15/PHB47,LH82_PH207-15,PHB47,12,1,277
1009,LH82_PH207-16/PHB47,LH82_PH207-16,PHB47,11,1,277
1010,LH82_PH207-17/PHB47,LH82_PH207-17,PHB47,9,1,277
1011,LH82_PH207-18/PHB47,LH82_PH207-18,PHB47,10,1,277
1012,LH82_PH207-19/PHB47,LH82_PH207-19,PHB47,10,1,277
1013,LH82_PH207-2/PHB47,LH82_PH207-2,PHB47,12,1,277
1014,LH82_PH207-20/PHB47,LH82_PH207-20,PHB47,8,1,277
1015,LH82_PH207-22/PHB47,LH82_PH207-22,PHB47,11,1,277
1016,LH82_PH207-23/PHB47,LH82_PH207-23,PHB47,12,1,277
1017,LH82_PH207-24/PHB47,LH82_PH207-24,PHB47,9,1,277
1018,LH82_PH207-25/PHB47,LH82_PH207-25,PHB47,13,1,277
1019,LH82_PH207-3/PHB47,LH82_PH207-3,PHB47,5,1,277
1020,LH82_PH207-4/PHB47,LH82_PH207-4,PHB47,13,1,277
1021,LH82_PH207-5/PHB47,LH82_PH207-5,PHB47,11,1,277
1022,LH82_PH207-6/PHB47,LH82_PH207-6,PHB47,11,1,277
1023,LH82_PH207-7/PHB47,LH82_PH207-7,PHB47,13,1,277
1024,LH82_PH207-8/PHB47,LH82_PH207-8,PHB47,7,1,277
1025,LH82_PH207-9/PHB47,LH82_PH207-9,PHB47,9,1,277
1026,LH82_PHG47-1/PHB47,LH82_PHG47-1,PHB47,10,1,277
1027,LH82_PHG47-10/PHB47,LH82_PHG47-10,PHB47,13,1,277
1028,LH82_PHG47-11/PHB47,LH82_PHG47-11,PHB47,14,1,277
1029,LH82_PHG47-12/PHB47,LH82_PHG47-12,PHB47,11,1,277
1030,LH82_PHG47-13/PHB47,LH82_PHG47-13,PHB47,12,1,277
1031,LH82_PHG47-14/PHB47,LH82_PHG47-14,PHB47,12,1,277
1032,LH82_PHG47-15/PHB47,LH82_PHG47-15,PHB47,11,1,277
1033,LH82_PHG47-16/PHB47,LH82_PHG47-16,PHB47,9,1,277
1034,LH82_PHG47-17/PHB47,LH82_PHG47-17,PHB47,11,1,277
1035,LH82_PHG47-18/PHB47,LH82_PHG47-18,PHB47,13,1,277
1036,LH82_PHG47-19/PHB47,LH82_PHG47-19,PHB47,11,1,277
1037,LH82_PHG47-2/PHB47,LH82_PHG47-2,PHB47,11,1,277
1038,LH82_PHG47-20/PHB47,LH82_PHG47-20,PHB47,12,1,277
1039,LH82_PHG47-21/PHB47,LH82_PHG47-21,PHB47,12,1,277
1040,LH82_PHG47-22/PHB47,LH82_PHG47-22,PHB47,10,1,277
1041,LH82_PHG47-23/PHB47,LH82_PHG47-23,PHB47,13,1,277
1042,LH82_PHG47-24/PHB47,LH82_PHG47-24,PHB47,11,1,277
1043,LH82_PHG47-25/PHB47,LH82_PHG47-25,PHB47,8,1,277
1044,LH82_PHG47-3/PHB47,LH82_PHG47-3,PHB47,12,1,277
1045,LH82_PHG47-4/PHB47,LH82_PHG47-4,PHB47,13,1,277
1046,LH82_PHG47-5/PHB47,LH82_PHG47-5,PHB47,13,1,277
1047,LH82_PHG47-6/PHB47,LH82_PHG47-6,PHB47,10,1,277
1048,LH82_PHG47-7/PHB47,LH82_PHG47-7,PHB47,13,1,277
1049,LH82_PHG47-8/PHB47,LH82_PHG47-8,PHB47,11,1,277
1050,LH82_PHG47-9/PHB47,LH82_PHG47-9,PHB47,13,1,277
1051,M0001/LH185,M0001,LH185,16,6,229
1052,M0001/LH195,M0001,LH195,22,6,809
1053,M0001/LH198,M0001,LH198,17,6,213
1054,M0001/LH82,M0001,LH82,13,6,205
1055,M0001/PB80,M0001,PB80,4,6,165
1056,M0001/PHZ51,M0001,PHZ51,5,6,670
1057,M0003/LH185,M0003,LH185,34,4,229
1058,M0003/LH198,M0003,LH198,26,4,213
1059,M0003/LH82,M0003,LH82,9,4,205
1060,M0003/PHZ51,M0003,PHZ51,6,4,670
1061,M0007/LH195,M0007,LH195,12,2,809
1062,M0007/PB80,M0007,PB80,12,2,165
1063,M0008/CG102,M0008,CG102,7,7,153
1064,M0008/LH185,M0008,LH185,35,7,229
1065,M0008/LH195,M0008,LH195,3,7,809
1066,M0008/LH198,M0008,LH198,50,7,213
1067,M0008/LH82,M0008,LH82,14,7,205
1068,M0008/PB80,M0008,PB80,12,7,165
1069,M0008/PHZ51,M0008,PHZ51,6,7,670
1070,M0010/LH195,M0010,LH195,16,2,809
1071,M0010/PB80,M0010,PB80,16,2,165
1072,M0012/CG102,M0012,CG102,9,5,153
1073,M0012/LH185,M0012,LH185,16,5,229
1074,M0012/LH198,M0012,LH198,36,5,213
1075,M0012/LH82,M0012,LH82,14,5,205
1076,M0012/PHZ51,M0012,PHZ51,9,5,670
1077,M0014/CG102,M0014,CG102,14,6,153
1078,M0014/LH185,M0014,LH185,22,6,229
1079,M0014/LH198,M0014,LH198,48,6,213
1080,M0014/LH82,M0014,LH82,9,6,205
1081,M0014/PB80,M0014,PB80,4,6,165
1082,M0014/PHZ51,M0014,PHZ51,9,6,670
1083,M0015/CG102,M0015,CG102,6,6,153
1084,M0015/LH195,M0015,LH195,7,6,809
1085,M0015/LH198,M0015,LH198,22,6,213
1086,M0015/LH82,M0015,LH82,10,6,205
1087,M0015/PB80,M0015,PB80,8,6,165
1088,M0015/PHZ51,M0015,PHZ51,7,6,670
1089,M0016/LH195,M0016,LH195,4,2,809
1090,M0016/PB80,M0016,PB80,16,2,165
1091,M0022/CG102,M0022,CG102,7,3,153
1092,M0022/LH185,M0022,LH185,24,3,229
1093,M0022/LH198,M0022,LH198,20,3,213
1094,M0024/CG102,M0024,CG102,5,5,153
1095,M0024/LH185,M0024,LH185,6,5,229
1096,M0024/LH198,M0024,LH198,42,5,213
1097,M0024/LH82,M0024,LH82,8,5,205
1098,M0024/PHZ51,M0024,PHZ51,10,5,670
1099,M0027/CG102,M0027,CG102,32,3,153
1100,M0027/LH185,M0027,LH185,16,3,229
1101,M0027/LH198,M0027,LH198,20,3,213
1102,M0028/CG102,M0028,CG102,12,7,153
1103,M0028/LH185,M0028,LH185,26,7,229
1104,M0028/LH195,M0028,LH195,9,7,809
1105,M0028/LH198,M0028,LH198,26,7,213
1106,M0028/LH82,M0028,LH82,6,7,205
1107,M0028/PB80,M0028,PB80,8,7,165
1108,M0028/PHZ51,M0028,PHZ51,8,7,670
1109,M0029/PB80,M0029,PB80,12,1,165
1110,M0030/CG102,M0030,CG102,4,7,153
1111,M0030/LH185,M0030,LH185,32,7,229
1112,M0030/LH195,M0030,LH195,2,7,809
1113,M0030/LH198,M0030,LH198,26,7,213
1114,M0030/LH82,M0030,LH82,8,7,205
1115,M0030/PB80,M0030,PB80,12,7,165
1116,M0030/PHZ51,M0030,PHZ51,8,7,670
1117,M0031/LH195,M0031,LH195,12,2,809
1118,M0031/PB80,M0031,PB80,16,2,165
1119,M0033/CG102,M0033,CG102,3,7,153
1120,M0033/LH185,M0033,LH185,6,7,229
1121,M0033/LH195,M0033,LH195,4,7,809
1122,M0033/LH198,M0033,LH198,19,7,213
1123,M0033/LH82,M0033,LH82,9,7,205
1124,M0033/PB80,M0033,PB80,4,7,165
1125,M0033/PHZ51,M0033,PHZ51,8,7,670
1126,M0035/CG102,M0035,CG102,10,2,153
1127,M0035/LH185,M0035,LH185,16,2,229
1128,M0038/CG102,M0038,CG102,5,1,153
1129,M0039/CG102,M0039,CG102,2,7,153
1130,M0039/LH185,M0039,LH185,15,7,229
1131,M0039/LH195,M0039,LH195,22,7,809
1132,M0039/LH198,M0039,LH198,25,7,213
1133,M0039/LH82,M0039,LH82,9,7,205
1134,M0039/PB80,M0039,PB80,12,7,165
1135,M0039/PHZ51,M0039,PHZ51,8,7,670
1136,M0041/CG102,M0041,CG102,4,5,153
1137,M0041/LH185,M0041,LH185,28,5,229
1138,M0041/LH198,M0041,LH198,28,5,213
1139,M0041/LH82,M0041,LH82,12,5,205
1140,M0041/PHZ51,M0041,PHZ51,12,5,670
1141,M0042/LH185,M0042,LH185,16,1,229
1142,M0045/LH185,M0045,LH185,14,2,229
1143,M0045/LH198,M0045,LH198,26,2,213
1144,M0048/PB80,M0048,PB80,12,1,165
1145,M0051/CG102,M0051,CG102,15,3,153
1146,M0051/LH185,M0051,LH185,24,3,229
1147,M0051/LH198,M0051,LH198,28,3,213
1148,M0052/CG102,M0052,CG102,15,6,153
1149,M0052/LH185,M0052,LH185,35,6,229
1150,M0052/LH195,M0052,LH195,2,6,809
1151,M0052/LH82,M0052,LH82,10,6,205
1152,M0052/PB80,M0052,PB80,8,6,165
1153,M0052/PHZ51,M0052,PHZ51,6,6,670
1154,M0056/PB80,M0056,PB80,8,1,165
1155,M0057/LH195,M0057,LH195,12,1,809
1156,M0058/CG102,M0058,CG102,10,6,153
1157,M0058/LH185,M0058,LH185,28,6,229
1158,M0058/LH195,M0058,LH195,14,6,809
1159,M0058/LH198,M0058,LH198,20,6,213
1160,M0058/LH82,M0058,LH82,10,6,205
1161,M0058/PHZ51,M0058,PHZ51,7,6,670
1162,M0061/LH198,M0061,LH198,26,1,213
1163,M0062/CG102,M0062,CG102,7,2,153
1164,M0062/LH198,M0062,LH198,26,2,213
1165,M0066/LH195,M0066,LH195,12,1,809
1166,M0067/CG102,M0067,CG102,7,1,153
1167,M0075/CG102,M0075,CG102,22,5,153
1168,M0075/LH185,M0075,LH185,16,5,229
1169,M0075/LH195,M0075,LH195,4,5,809
1170,M0075/LH82,M0075,LH82,4,5,205
1171,M0075/PB80,M0075,PB80,12,5,165
1172,M0076/CG102,M0076,CG102,6,2,153
1173,M0076/LH185,M0076,LH185,16,2,229
1174,M0077/LH185,M0077,LH185,16,4,229
1175,M0077/LH198,M0077,LH198,25,4,213
1176,M0077/LH82,M0077,LH82,10,4,205
1177,M0077/PHZ51,M0077,PHZ51,14,4,670
1178,M0083/CG102,M0083,CG102,10,5,153
1179,M0083/LH185,M0083,LH185,16,5,229
1180,M0083/LH198,M0083,LH198,39,5,213
1181,M0083/LH82,M0083,LH82,14,5,205
1182,M0083/PHZ51,M0083,PHZ51,10,5,670
1183,M0085/LH185,M0085,LH185,25,2,229
1184,M0085/LH198,M0085,LH198,31,2,213
1185,M0087/CG102,M0087,CG102,24,3,153
1186,M0087/LH185,M0087,LH185,6,3,229
1187,M0087/LH198,M0087,LH198,39,3,213
1188,M0088/LH185,M0088,LH185,23,3,229
1189,M0088/LH82,M0088,LH82,10,3,205
1190,M0088/PHZ51,M0088,PHZ51,6,3,670
1191,M0092/CG102,M0092,CG102,10,1,153
1192,M0099/LH185,M0099,LH185,17,3,229
1193,M0099/LH195,M0099,LH195,12,3,809
1194,M0099/PB80,M0099,PB80,4,3,165
1195,M0101/CG102,M0101,CG102,6,5,153
1196,M0101/LH185,M0101,LH185,34,5,229
1197,M0101/LH198,M0101,LH198,26,5,213
1198,M0101/LH82,M0101,LH82,11,5,205
1199,M0101/PHZ51,M0101,PHZ51,6,5,670
1200,M0106/LH185,M0106,LH185,24,2,229
1201,M0106/LH198,M0106,LH198,20,2,213
1202,M0114/CG102,M0114,CG102,8,3,153
1203,M0114/LH185,M0114,LH185,16,3,229
1204,M0114/LH198,M0114,LH198,20,3,213
1205,M0116/LH185,M0116,LH185,7,3,229
1206,M0116/LH82,M0116,LH82,9,3,205
1207,M0116/PHZ51,M0116,PHZ51,5,3,670
1208,M0118/LH185,M0118,LH185,28,4,229
1209,M0118/LH198,M0118,LH198,34,4,213
1210,M0118/LH82,M0118,LH82,9,4,205
1211,M0118/PHZ51,M0118,PHZ51,8,4,670
1212,M0125/CG102,M0125,CG102,1,1,153
1213,M0127/LH195,M0127,LH195,8,1,809
1214,M0141/LH185,M0141,LH185,4,1,229
1215,M0143/LH185,M0143,LH185,35,6,229
1216,M0143/LH195,M0143,LH195,8,6,809
1217,M0143/LH198,M0143,LH198,26,6,213
1218,M0143/LH82,M0143,LH82,7,6,205
1219,M0143/PB80,M0143,PB80,12,6,165
1220,M0143/PHZ51,M0143,PHZ51,9,6,670
1221,M0151/LH185,M0151,LH185,32,2,229
1222,M0151/LH198,M0151,LH198,41,2,213
1223,M0154/CG102,M0154,CG102,9,6,153
1224,M0154/LH185,M0154,LH185,26,6,229
1225,M0154/LH195,M0154,LH195,16,6,809
1226,M0154/LH198,M0154,LH198,39,6,213
1227,M0154/LH82,M0154,LH82,12,6,205
1228,M0154/PHZ51,M0154,PHZ51,4,6,670
1229,M0159/LH185,M0159,LH185,28,3,229
1230,M0159/LH198,M0159,LH198,1,3,213
1231,M0159/PHZ51,M0159,PHZ51,1,3,670
1232,M0162/PB80,M0162,PB80,4,1,165
1233,M0163/LH185,M0163,LH185,15,3,229
1234,M0163/LH82,M0163,LH82,14,3,205
1235,M0163/PHZ51,M0163,PHZ51,10,3,670
1236,M0164/LH195,M0164,LH195,12,2,809
1237,M0164/PB80,M0164,PB80,8,2,165
1238,M0172/CG102,M0172,CG102,14,3,153
1239,M0172/LH185,M0172,LH185,17,3,229
1240,M0172/LH198,M0172,LH198,26,3,213
1241,M0186/CG102,M0186,CG102,5,3,153
1242,M0186/LH185,M0186,LH185,37,3,229
1243,M0186/LH198,M0186,LH198,36,3,213
1244,M0262/CG102,M0262,CG102,8,7,153
1245,M0262/LH185,M0262,LH185,4,7,229
1246,M0262/LH195,M0262,LH195,4,7,809
1247,M0262/LH198,M0262,LH198,42,7,213
1248,M0262/LH82,M0262,LH82,13,7,205
1249,M0262/PB80,M0262,PB80,12,7,165
1250,M0262/PHZ51,M0262,PHZ51,5,7,670
1251,M0264/CG102,M0264,CG102,5,2,153
1252,M0264/PB80,M0264,PB80,12,2,165
1253,M0266/CG102,M0266,CG102,5,6,153
1254,M0266/LH185,M0266,LH185,26,6,229
1255,M0266/LH198,M0266,LH198,48,6,213
1256,M0266/LH82,M0266,LH82,8,6,205
1257,M0266/PB80,M0266,PB80,12,6,165
1258,M0266/PHZ51,M0266,PHZ51,8,6,670
1259,M0269/CG102,M0269,CG102,10,3,153
1260,M0269/LH185,M0269,LH185,31,3,229
1261,M0269/LH198,M0269,LH198,28,3,213
1262,M0272/LH185,M0272,LH185,14,2,229
1263,M0272/LH198,M0272,LH198,23,2,213
1264,M0275/PB80,M0275,PB80,8,1,165
1265,M0276/CG102,M0276,CG102,9,4,153
1266,M0276/LH195,M0276,LH195,8,4,809
1267,M0276/LH198,M0276,LH198,21,4,213
1268,M0276/PB80,M0276,PB80,12,4,165
1269,M0287/CG102,M0287,CG102,3,3,153
1270,M0287/LH185,M0287,LH185,35,3,229
1271,M0287/LH198,M0287,LH198,28,3,213
1272,M0296/LH185,M0296,LH185,27,2,229
1273,M0296/LH198,M0296,LH198,26,2,213
1274,M0297/CG102,M0297,CG102,7,3,153
1275,M0297/LH185,M0297,LH185,16,3,229
1276,M0297/LH198,M0297,LH198,40,3,213
1277,M0309/CG102,M0309,CG102,11,2,153
1278,M0309/LH198,M0309,LH198,29,2,213
1279,M0310/PB80,M0310,PB80,12,1,165
1280,M0311/CG102,M0311,CG102,5,3,153
1281,M0311/LH185,M0311,LH185,25,3,229
1282,M0311/LH198,M0311,LH198,36,3,213
1283,M0315/PB80,M0315,PB80,12,1,165
1284,M0317/CG102,M0317,CG102,2,4,153
1285,M0317/LH185,M0317,LH185,18,4,229
1286,M0317/LH195,M0317,LH195,4,4,809
1287,M0317/LH198,M0317,LH198,28,4,213
1288,M0321/LH195,M0321,LH195,12,1,809
1289,M0323/CG102,M0323,CG102,9,4,153
1290,M0323/LH185,M0323,LH185,39,4,229
1291,M0323/LH198,M0323,LH198,36,4,213
1292,M0323/PB80,M0323,PB80,12,4,165
1293,M0325/CG102,M0325,CG102,5,5,153
1294,M0325/LH185,M0325,LH185,30,5,229
1295,M0325/LH195,M0325,LH195,12,5,809
1296,M0325/LH198,M0325,LH198,29,5,213
1297,M0325/PB80,M0325,PB80,12,5,165
1298,M0326/CG102,M0326,CG102,5,5,153
1299,M0326/LH185,M0326,LH185,6,5,229
1300,M0326/LH195,M0326,LH195,12,5,809
1301,M0326/LH198,M0326,LH198,38,5,213
1302,M0326/PB80,M0326,PB80,12,5,165
1303,M0328/PB80,M0328,PB80,12,1,165
1304,M0341/CG102,M0341,CG102,3,2,153
1305,M0341/LH185,M0341,LH185,5,2,229
1306,M0345/LH185,M0345,LH185,5,1,229
1307,M0346/CG102,M0346,CG102,8,3,153
1308,M0346/LH185,M0346,LH185,22,3,229
1309,M0346/LH198,M0346,LH198,28,3,213
1310,M0352/CG102,M0352,CG102,25,2,153
1311,M0352/LH185,M0352,LH185,16,2,229
1312,M0354/CG102,M0354,CG102,5,3,153
1313,M0354/LH185,M0354,LH185,5,3,229
1314,M0354/LH198,M0354,LH198,32,3,213
1315,M0355/CG102,M0355,CG102,8,2,153
1316,M0355/LH185,M0355,LH185,16,2,229
1317,M0357/LH185,M0357,LH185,6,2,229
1318,M0357/PB80,M0357,PB80,4,2,165
1319,M0360/CG102,M0360,CG102,9,1,153
1320,M0365/LH198,M0365,LH198,20,1,213
1321,M0368/PB80,M0368,PB80,12,1,165
1322,M0369/LH185,M0369,LH185,16,3,229
1323,M0369/LH198,M0369,LH198,20,3,213
1324,M0369/PB80,M0369,PB80,12,3,165
1325,M0378/CG102,M0378,CG102,8,2,153
1326,M0378/LH185,M0378,LH185,18,2,229
1327,M0382/LH195,M0382,LH195,12,2,809
1328,M0382/PB80,M0382,PB80,12,2,165
1329,M0383/LH195,M0383,LH195,8,1,809
1330,M162W/LH195,M162W,LH195,10,4,809
1331,M162W/LH244,M162W,LH244,79,4,512
1332,M162W/PHB47,M162W,PHB47,9,4,277
1333,M162W/PHZ51,M162W,PHZ51,5,4,670
1334,M37W/LH244,M37W,LH244,15,1,512
1335,MBNIL_B004/DK3IIH6,MBNIL_B004,DK3IIH6,18,3,153
1336,MBNIL_B004/LH185,MBNIL_B004,LH185,15,3,229
1337,MBNIL_B004/PHZ51,MBNIL_B004,PHZ51,41,3,670
1338,MBNIL_B015/DK3IIH6,MBNIL_B015,DK3IIH6,36,3,153
1339,MBNIL_B015/LH185,MBNIL_B015,LH185,15,3,229
1340,MBNIL_B015/PHZ51,MBNIL_B015,PHZ51,35,3,670
1341,MBNIL_B040/DK3IIH6,MBNIL_B040,DK3IIH6,33,2,153
1342,MBNIL_B040/PHZ51,MBNIL_B040,PHZ51,37,2,670
1343,MBNIL_B043/DK3IIH6,MBNIL_B043,DK3IIH6,30,2,153
1344,MBNIL_B043/PHZ51,MBNIL_B043,PHZ51,36,2,670
1345,MBNIL_B044/DK3IIH6,MBNIL_B044,DK3IIH6,18,2,153
1346,MBNIL_B044/PHZ51,MBNIL_B044,PHZ51,40,2,670
1347,MBNIL_B049/PHZ51,MBNIL_B049,PHZ51,36,1,670
1348,MBNIL_B055/DK3IIH6,MBNIL_B055,DK3IIH6,15,3,153
1349,MBNIL_B055/LH185,MBNIL_B055,LH185,32,3,229
1350,MBNIL_B055/PHZ51,MBNIL_B055,PHZ51,40,3,670
1351,MBNIL_B057/DK3IIH6,MBNIL_B057,DK3IIH6,15,3,153
1352,MBNIL_B057/LH185,MBNIL_B057,LH185,18,3,229
1353,MBNIL_B057/PHZ51,MBNIL_B057,PHZ51,36,3,670
1354,MBNIL_B065/DK3IIH6,MBNIL_B065,DK3IIH6,36,2,153
1355,MBNIL_B065/PHZ51,MBNIL_B065,PHZ51,39,2,670
1356,MBNIL_B078/DK3IIH6,MBNIL_B078,DK3IIH6,32,2,153
1357,MBNIL_B078/PHZ51,MBNIL_B078,PHZ51,40,2,670
1358,MBNIL_B102/DK3IIH6,MBNIL_B102,DK3IIH6,15,3,153
1359,MBNIL_B102/LH185,MBNIL_B102,LH185,15,3,229
1360,MBNIL_B102/PHZ51,MBNIL_B102,PHZ51,37,3,670
1361,MBNIL_B107/DK3IIH6,MBNIL_B107,DK3IIH6,32,2,153
1362,MBNIL_B107/PHZ51,MBNIL_B107,PHZ51,36,2,670
1363,MBNIL_B111/DK3IIH6,MBNIL_B111,DK3IIH6,35,2,153
1364,MBNIL_B111/PHZ51,MBNIL_B111,PHZ51,42,2,670
1365,MBNIL_B122/DK3IIH6,MBNIL_B122,DK3IIH6,36,2,153
1366,MBNIL_B122/PHZ51,MBNIL_B122,PHZ51,40,2,670
1367,MBNIL_B123/DK3IIH6,MBNIL_B123,DK3IIH6,12,2,153
1368,MBNIL_B123/PHZ51,MBNIL_B123,PHZ51,35,2,670
1369,MBNIL_B125/DK3IIH6,MBNIL_B125,DK3IIH6,15,2,153
1370,MBNIL_B125/PHZ51,MBNIL_B125,PHZ51,37,2,670
1371,MBNIL_B131/DK3IIH6,MBNIL_B131,DK3IIH6,18,3,153
1372,MBNIL_B131/LH185,MBNIL_B131,LH185,15,3,229
1373,MBNIL_B131/PHZ51,MBNIL_B131,PHZ51,39,3,670
1374,MBNIL_B136/DK3IIH6,MBNIL_B136,DK3IIH6,18,2,153
1375,MBNIL_B136/PHZ51,MBNIL_B136,PHZ51,36,2,670
1376,MBNIL_B144/DK3IIH6,MBNIL_B144,DK3IIH6,15,3,153
1377,MBNIL_B144/LH185,MBNIL_B144,LH185,15,3,229
1378,MBNIL_B144/PHZ51,MBNIL_B144,PHZ51,19,3,670
1379,MBNIL_B154/DK3IIH6,MBNIL_B154,DK3IIH6,36,3,153
1380,MBNIL_B154/LH185,MBNIL_B154,LH185,18,3,229
1381,MBNIL_B154/PHZ51,MBNIL_B154,PHZ51,36,3,670
1382,MBNIL_B169/PHZ51,MBNIL_B169,PHZ51,36,1,670
1383,MBNIL_B175/DK3IIH6,MBNIL_B175,DK3IIH6,36,3,153
1384,MBNIL_B175/LH185,MBNIL_B175,LH185,33,3,229
1385,MBNIL_B175/PHZ51,MBNIL_B175,PHZ51,36,3,670
1386,MBNIL_B189/DK3IIH6,MBNIL_B189,DK3IIH6,33,3,153
1387,MBNIL_B189/LH185,MBNIL_B189,LH185,31,3,229
1388,MBNIL_B189/PHZ51,MBNIL_B189,PHZ51,36,3,670
1389,MBS3785/MBS5618,MBS3785,MBS5618,40,1,1
1390,MBUB/LH244,MBUB,LH244,61,1,512
1391,MM501D/LH244,MM501D,LH244,129,1,512
1392,MO17/DK3IIH6,MO17,DK3IIH6,14,6,153
1393,MO17/LH244,MO17,LH244,15,6,512
1394,MO17/LH82,MO17,LH82,7,6,205
1395,MO17/PHZ51,MO17,PHZ51,34,6,670
1396,MO17_PHW30-008-(2N)-01/LH244,MO17_PHW30-008-(2N)-01,LH244,93,1,512
1397,MO17_PHW30-200-(2N)-02/LH244,MO17_PHW30-200-(2N)-02,LH244,91,1,512
1398,MO17_PHW30-309-(2N)-01/LH244,MO17_PHW30-309-(2N)-01,LH244,80,1,512
1399,MO44/LH195,MO44,LH195,31,3,809
1400,MO44/LH244,MO44,LH244,28,3,512
1401,MO44/PHT69,MO44,PHT69,23,3,594
1402,MO44_LH145_0047/CG102,MO44_LH145_0047,CG102,1,1,153
1403,MO44_LH145_0081/PB80,MO44_LH145_0081,PB80,12,1,165
1404,MO44_LH145_0107/PB80,MO44_LH145_0107,PB80,8,1,165
1405,MO44_LH145_0127/CG102,MO44_LH145_0127,CG102,24,6,153
1406,MO44_LH145_0127/LH185,MO44_LH145_0127,LH185,21,6,229
1407,MO44_LH145_0127/LH195,MO44_LH145_0127,LH195,16,6,809
1408,MO44_LH145_0127/LH198,MO44_LH145_0127,LH198,25,6,213
1409,MO44_LH145_0127/LH244,MO44_LH145_0127,LH244,92,6,512
1410,MO44_LH145_0127/PHB47,MO44_LH145_0127,PHB47,27,6,277
1411,MO44_LH145_0138/CG102,MO44_LH145_0138,CG102,22,6,153
1412,MO44_LH145_0138/LH185,MO44_LH145_0138,LH185,21,6,229
1413,MO44_LH145_0138/LH195,MO44_LH145_0138,LH195,26,6,809
1414,MO44_LH145_0138/LH198,MO44_LH145_0138,LH198,29,6,213
1415,MO44_LH145_0138/LH244,MO44_LH145_0138,LH244,92,6,512
1416,MO44_LH145_0138/PHB47,MO44_LH145_0138,PHB47,6,6,277
1417,MO44_LH145_0143/LH195,MO44_LH145_0143,LH195,12,2,809
1418,MO44_LH145_0143/LH198,MO44_LH145_0143,LH198,16,2,213
1419,MO44_PHG47_0072/CG102,MO44_PHG47_0072,CG102,9,5,153
1420,MO44_PHG47_0072/LH185,MO44_PHG47_0072,LH185,25,5,229
1421,MO44_PHG47_0072/LH198,MO44_PHG47_0072,LH198,21,5,213
1422,MO44_PHG47_0072/LH244,MO44_PHG47_0072,LH244,92,5,512
1423,MO44_PHG47_0072/PHB47,MO44_PHG47_0072,PHB47,33,5,277
1424,MO44_PHG47_0125/CG102,MO44_PHG47_0125,CG102,11,3,153
1425,MO44_PHG47_0125/LH198,MO44_PHG47_0125,LH198,16,3,213
1426,MO44_PHG47_0125/LH244,MO44_PHG47_0125,LH244,95,3,512
1427,MO44_PHW65_0001/LH195,MO44_PHW65_0001,LH195,49,2,809
1428,MO44_PHW65_0001/PHT69,MO44_PHW65_0001,PHT69,23,2,594
1429,MO44_PHW65_0009/LH195,MO44_PHW65_0009,LH195,50,2,809
1430,MO44_PHW65_0009/PHT69,MO44_PHW65_0009,PHT69,22,2,594
1431,MO44_PHW65_0010/PHT69,MO44_PHW65_0010,PHT69,7,1,594
1432,MO44_PHW65_0011/LH195,MO44_PHW65_0011,LH195,50,2,809
1433,MO44_PHW65_0011/PHT69,MO44_PHW65_0011,PHT69,26,2,594
1434,MO44_PHW65_0012/LH195,MO44_PHW65_0012,LH195,49,2,809
1435,MO44_PHW65_0012/PHT69,MO44_PHW65_0012,PHT69,39,2,594
1436,MO44_PHW65_0015/LH195,MO44_PHW65_0015,LH195,51,2,809
1437,MO44_PHW65_0015/PHT69,MO44_PHW65_0015,PHT69,24,2,594
1438,MO44_PHW65_0017/LH195,MO44_PHW65_0017,LH195,50,2,809
1439,MO44_PHW65_0017/PHT69,MO44_PHW65_0017,PHT69,14,2,594
1440,MO44_PHW65_0020/LH195,MO44_PHW65_0020,LH195,48,2,809
1441,MO44_PHW65_0020/PHT69,MO44_PHW65_0020,PHT69,21,2,594
1442,MO44_PHW65_0023/LH195,MO44_PHW65_0023,LH195,47,2,809
1443,MO44_PHW65_0023/PHT69,MO44_PHW65_0023,PHT69,7,2,594
1444,MO44_PHW65_0024/LH195,MO44_PHW65_0024,LH195,50,2,809
1445,MO44_PHW65_0024/PHT69,MO44_PHW65_0024,PHT69,11,2,594
1446,MO44_PHW65_0025/CG102,MO44_PHW65_0025,CG102,2,6,153
1447,MO44_PHW65_0025/LH185,MO44_PHW65_0025,LH185,19,6,229
